Time,Voltage
2035.712,0.116769
2035.776,0.116765
2035.84,0.116757
2035.904,0.116754
2035.968,0.116757
2036.032,0.116755
2036.096,0.116744
2036.16,0.116741
2036.224,0.116753
2036.288,0.116756
2036.352,0.116766
2036.416,0.116765
2036.48,0.116765
2036.544,0.116767
2036.608,0.116764
2036.672,0.116764
2036.736,0.116765
2036.8,0.116772
2036.864,0.116775
2036.928,0.116772
2036.992,0.116776
2037.056,0.116774
2037.12,0.116771
2037.184,0.116764
2037.248,0.116767
2037.312,0.116768
2037.376,0.116769
2037.44,0.116766
2037.504,0.116763
2037.568,0.116763
2037.632,0.116762
2037.696,0.116761
2037.76,0.116767
2037.824,0.116764
2037.888,0.116761
2037.952,0.116766
2038.016,0.116769
2038.08,0.116767
2038.144,0.116763
2038.208,0.116765
2038.272,0.11677
2038.336,0.116773
2038.4,0.116775
2038.464,0.116768
2038.528,0.116771
2038.592,0.116773
2038.656,0.116775
2038.72,0.116772
2038.784,0.116781
2038.848,0.116788
2038.912,0.116784
2038.976,0.116793
2039.04,0.116796
2039.104,0.116795
2039.168,0.11679
2039.232,0.116786
2039.296,0.116779
2039.36,0.11678
2039.424,0.116786
2039.488,0.116786
2039.552,0.116783
2039.616,0.116786
2039.68,0.116778
2039.744,0.116778
2039.808,0.116786
2039.872,0.116789
2039.936,0.116793
2040,0.116806
2040.064,0.116841
2040.128,0.116948
2040.192,0.117193
2040.256,0.117687
2040.32,0.118598
2040.384,0.120127
2040.448,0.122417
2040.512,0.125528
2040.576,0.129331
2040.64,0.133505
2040.704,0.137571
2040.768,0.143272
2040.832,0.144158
2040.896,0.14355
2040.96,0.141586
2041.024,0.138577
2041.088,0.134955
2041.152,0.131162
2041.216,0.127596
2041.28,0.124523
2041.344,0.122067
2041.408,0.120256
2041.472,0.118169
2041.536,0.117651
2041.6,0.117344
2041.664,0.117159
2041.728,0.117049
2041.792,0.116984
2041.856,0.116949
2041.92,0.116925
2041.984,0.1169
2042.048,0.116882
2042.112,0.116876
2042.176,0.116866
2042.24,0.11684
2042.304,0.116835
2042.368,0.116824
2042.432,0.116813
2042.496,0.116811
2042.56,0.116806
2042.624,0.116808
2042.688,0.116811
2042.752,0.116802
2042.816,0.116799
2042.88,0.116799
2042.944,0.116788
2043.008,0.116783
2043.072,0.116787
2043.136,0.11678
2043.2,0.116775
2043.264,0.116781
2043.328,0.116785
2043.392,0.116777
2043.456,0.116766
2043.52,0.116769
2043.584,0.116768
2043.648,0.116762
2043.712,0.116759
2043.776,0.116758
2043.84,0.116759
2043.904,0.116756
2043.968,0.116748
2044.032,0.116749
2044.096,0.116754
2044.16,0.116753
2044.224,0.116749
2044.288,0.116745
2044.352,0.116743
2044.416,0.116735
2044.48,0.116733
2044.544,0.116739
2044.608,0.116745
2044.672,0.116749
2044.736,0.116741
2044.8,0.116734
2044.864,0.116739
2044.928,0.116743
2044.992,0.116747
2045.056,0.116743
2045.12,0.116734
2045.184,0.116741
2045.248,0.116736
2045.312,0.116736
2045.376,0.116733
2045.44,0.116741
2045.504,0.11675
2045.568,0.116752
2045.632,0.116742
2045.696,0.116738
2045.76,0.116741
2045.824,0.116741
2045.888,0.116735
2045.952,0.116732
2046.016,0.116729
2046.08,0.116732
2046.144,0.116738
2046.208,0.11674
2046.272,0.116735
2046.336,0.116735
2046.4,0.116734
2046.464,0.116732
2046.528,0.116727
2046.592,0.11673
2046.656,0.116733
2046.72,0.116734
2046.784,0.116728
2046.848,0.116724
2046.912,0.116735
2046.976,0.116737
2047.04,0.116735
2047.104,0.116733
2047.168,0.116732
2047.232,0.116732
2047.296,0.116734
2047.36,0.116733
2047.424,0.116731
2047.488,0.116726
2047.552,0.116722
2047.616,0.116723
2047.68,0.116723
2047.744,0.116725
2047.808,0.116724
2047.872,0.116718
2047.936,0.116716
2048,0.11671
2048.064,0.116703
2048.128,0.116705
2048.192,0.116703
2048.256,0.116701
2048.32,0.116697
2048.384,0.116699
2048.448,0.116693
2048.512,0.116686
2048.576,0.116687
2048.64,0.116691
2048.704,0.116697
2048.768,0.116687
2048.832,0.116675
2048.896,0.11667
2048.96,0.116673
2049.024,0.116674
2049.088,0.116672
2049.152,0.116666
2049.216,0.116661
2049.28,0.116656
2049.344,0.116651
2049.408,0.11665
2049.472,0.116648
2049.536,0.116654
2049.6,0.116655
2049.664,0.116653
2049.728,0.116656
2049.792,0.116662
2049.856,0.116666
2049.92,0.11667
2049.984,0.116672
2050.048,0.11667
2050.112,0.116673
2050.176,0.116677
2050.24,0.116683
2050.304,0.116677
2050.368,0.116672
2050.432,0.116676
2050.496,0.116675
2050.56,0.116666
2050.624,0.116662
2050.688,0.116662
2050.752,0.116664
2050.816,0.116672
2050.88,0.116669
2050.944,0.116664
2051.008,0.116672
2051.072,0.116671
2051.136,0.116675
2051.2,0.116681
2051.264,0.116674
2051.328,0.116672
2051.392,0.116676
2051.456,0.116674
2051.52,0.116679
2051.584,0.116685
2051.648,0.116679
2051.712,0.116682
2051.776,0.116682
2051.84,0.116682
2051.904,0.116679
2051.968,0.116673
2052.032,0.116672
2052.096,0.116668
2052.16,0.11666
2052.224,0.116662
2052.288,0.116665
2052.352,0.116655
2052.416,0.116654
2052.48,0.116653
2052.544,0.116656
2052.608,0.116651
2052.672,0.116647
2052.736,0.116651
2052.8,0.116649
2052.864,0.116645
2052.928,0.116646
2052.992,0.116653
2053.056,0.116651
2053.12,0.116652
2053.184,0.116649
2053.248,0.11665
2053.312,0.116647
2053.376,0.116646
2053.44,0.116647
2053.504,0.116643
2053.568,0.116641
2053.632,0.116639
2053.696,0.116634
2053.76,0.116629
2053.824,0.116626
2053.888,0.116625
2053.952,0.116627
2054.016,0.116639
2054.08,0.116649
2054.144,0.116687
2054.208,0.116779
2054.272,0.116965
2054.336,0.117308
2054.4,0.117939
2054.464,0.11902
2054.528,0.120761
2054.592,0.123417
2054.656,0.127251
2054.72,0.139246
2054.784,0.147494
2054.848,0.156993
2054.912,0.167291
2054.976,0.177773
2055.04,0.187716
2055.104,0.196399
2055.168,0.203238
2055.232,0.207819
2055.296,0.209931
2055.36,0.209632
2055.424,0.202845
2055.488,0.197185
2055.552,0.190632
2055.616,0.183625
2055.68,0.176548
2055.744,0.169711
2055.808,0.16335
2055.872,0.157626
2055.936,0.1527
2056,0.148669
2056.064,0.145658
2056.128,0.143794
2056.192,0.143983
2056.256,0.1462
2056.32,0.149824
2056.384,0.154692
2056.448,0.16053
2056.512,0.166905
2056.576,0.173301
2056.64,0.179186
2056.704,0.184085
2056.768,0.18763
2056.832,0.189575
2056.896,0.188495
2056.96,0.185741
2057.024,0.18184
2057.088,0.177114
2057.152,0.171881
2057.216,0.16643
2057.28,0.161004
2057.344,0.155802
2057.408,0.150951
2057.472,0.146524
2057.536,0.142577
2057.6,0.139103
2057.664,0.133467
2057.728,0.131234
2057.792,0.129329
2057.856,0.127709
2057.92,0.126326
2057.984,0.125149
2058.048,0.124158
2058.112,0.12331
2058.176,0.122575
2058.24,0.121943
2058.304,0.121403
2058.368,0.120521
2058.432,0.120162
2058.496,0.119855
2058.56,0.119578
2058.624,0.119334
2058.688,0.11912
2058.752,0.11893
2058.816,0.118749
2058.88,0.118604
2058.944,0.118473
2059.008,0.118348
2059.072,0.118139
2059.136,0.118052
2059.2,0.117966
2059.264,0.117888
2059.328,0.11782
2059.392,0.117749
2059.456,0.117684
2059.52,0.117631
2059.584,0.117582
2059.648,0.117531
2059.712,0.117479
2059.776,0.117435
2059.84,0.11736
2059.904,0.117327
2059.968,0.117298
2060.032,0.117263
2060.096,0.11724
2060.16,0.117208
2060.224,0.117188
2060.288,0.117168
2060.352,0.117138
2060.416,0.117113
2060.48,0.117092
2060.544,0.117053
2060.608,0.117036
2060.672,0.117022
2060.736,0.117009
2060.8,0.116996
2060.864,0.116976
2060.928,0.116956
2060.992,0.116953
2061.056,0.116944
2061.12,0.116934
2061.184,0.116925
2061.248,0.116911
2061.312,0.116887
2061.376,0.116883
2061.44,0.116873
2061.504,0.116861
2061.568,0.11686
2061.632,0.116849
2061.696,0.116839
2061.76,0.116828
2061.824,0.116827
2061.888,0.116825
2061.952,0.116806
2062.016,0.1168
2062.08,0.116796
2062.144,0.116797
2062.208,0.116784
2062.272,0.116782
2062.336,0.116789
2062.4,0.116784
2062.464,0.116777
2062.528,0.116778
2062.592,0.116771
2062.656,0.116761
2062.72,0.116763
2062.784,0.116753
2062.848,0.11675
2062.912,0.116748
2062.976,0.116744
2063.04,0.11674
2063.104,0.116731
2063.168,0.116723
2063.232,0.116725
2063.296,0.116728
2063.36,0.116728
2063.424,0.116724
2063.488,0.116721
2063.552,0.116717
2063.616,0.116704
2063.68,0.116701
2063.744,0.116699
2063.808,0.116699
2063.872,0.116701
2063.936,0.116692
2064,0.116689
2064.064,0.116692
2064.128,0.116688
2064.192,0.116688
2064.256,0.116681
2064.32,0.116675
2064.384,0.116668
2064.448,0.116663
2064.512,0.116665
2064.576,0.116669
2064.64,0.11667
2064.704,0.116664
2064.768,0.116661
2064.832,0.116656
2064.896,0.116652
2064.96,0.116642
2065.024,0.116644
2065.088,0.116641
2065.152,0.116632
2065.216,0.116633
2065.28,0.11663
2065.344,0.116627
2065.408,0.116629
2065.472,0.116623
2065.536,0.116617
2065.6,0.116615
2065.664,0.116612
2065.728,0.116602
2065.792,0.1166
2065.856,0.116594
2065.92,0.116594
2065.984,0.116586
2066.048,0.116587
2066.112,0.116585
2066.176,0.116581
2066.24,0.116579
2066.304,0.116574
2066.368,0.116575
2066.432,0.116588
2066.496,0.116589
2066.56,0.116589
2066.624,0.116587
